Sentence,Sentiment
"rxii tang really is toxic, they keep bringing the share price down. at least they could let it climb a little before dragging it down.",-1
"the selling consortium includes funds managed by oko bank s venture capital unit , bio fund management and finnish industry investment , a government-owned investment group .",0
"amer sports divests an industrial site in rumilly , france - this announcement is distributed by thomson reuters on behalf of thomson reuters clients .",0
"metsa-botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the uruguay operations , and shares in pohjolan voima , and by utilising its existing financing facilities .",0
"rt fitzstock2004 iyt the transports always lead the way, and they broke dt line 1st, macd cross, bull flag",1
"ebit excluding non-recurring items , totalled eur 67.8 mn , up from eur 38.1 mn .",1
the diesel margin has remained high .,1
operating loss totaled eur 0.3 mn compared to a profit of eur 2.2 mn in the corresponding period in 2007 .,-1
"ftse rallies off three-month low, boosted by stanchart, sainsbury",1
"the growth in the activeness of talentum s customers , which started at the end of 2009 , continued during the reporting period , the company stated .",1
the maximum number of new shares to be offered is 22 million .,0
"marimekko makes all sorts of colorful little impulse buys umbrellas , baby bibs , change purses and they re all for sale , the better to take advantage of shoppers who ca n t commit to furniture but want a piece of the action .",0
"finnish management software solutions provider ixonos oyj net profit decreased to 369,000 euro 575,000 for the first quarter of 2008 from 669,000 euro 1.0 mln for the same period of 2007 .",0
"the sale , which will result in a gain of some eur 60 million in the second quarter of 2010 for oriola-kd , supports the finnish company s strategy to focus on pharmaceutical wholesale and retail operations .",1
"the guidance has been set at 90 basis points over mid-swaps , the report said .",0
"finnish drug distributor and wholesaler oriola-kd oyj said on october 11 , 2006 it named anne kariniemi vice president of its logistics and sourcing department as of january 15 , 2007 .",0
"it s a bad idea to make 5 min predictions based on faith rt aapl sell signal hit at 584, it will go down for the next 5 min",-1
the contracts comprise turnkey orders for roro systems for two roro-cruise vessels under construction for viking line and tallink .,0
"endp exit reversal .11 x 3k shares 330 - now long - not getting follow through, either side of price action",1
itv share price jumps on report of comcast s nbcuniversal bidding to takeover ...,1
"aspo plc stock exchange announcement may 4 , 2006 at 10 00 a.m. an increase in the share capital of aspo plc totaling eur 1,125.60 was registered today .",1
the four-year contract between the bank and ski sport finland will bring the bank s advertisements to skiers helmets and caps .,0
"according to finnish scanfil s founder and chairman of the board , jorma j. takanen , the company has to look for growth abroad .",0
"when new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",0
"in the video above marimekko s design manager , noora niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",0
we have made long-term investments in developing the system s implementation model .,0
"comptel , a vendor of dynamic operations support system oss software , has been selected by orascom telecom oth as partner for provisioning and activation solutions for mobile services .",1
aapl i am big out from this. seems its falling towards 530..,-1
"the ntsb said investigators are set to conduct sight distance tests on july 18 , using trains similar to those involved in the accident .",0
finnish sports equipment maker amer sports oyj hel ameas said today that its net loss narrowed to eur 16.9 million usd 22.3 m in the second quarter of 2010 from eur 23.2 million in the corresponding period a year earlier .,1
"return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",1
"outotec s scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",0
the contract will take effect in 2009 for a five or ten year period .,0
"simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",0
peer peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,0
three students from universiti sains malaysia have won a study trip to helsinki .,0
"finnish property investment company citycon will expand and refurbish kersberga shopping center in stockholm , in sweden .",0
5 best analyst rated stocks in last 72hrs orcl aapl cbs ino cpxx view all ratings here,1
"update persimmon profit up strongly, outlook positive",1
total two offers were received by contracting authority for participating in this contract however the contract was allotted to affecto finland oy .,0
"while i cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",0
"rpt-old mutual q1 gross sales beat forecasts, up 18 pct",1
the bank is also examining the benefits of transferring the swedish business to operate as a branch office so that the operations would be governed by finland s laws .,0
"motorola inc. of the united states came second with shipments of 217.4 million units for a 21.3 percent market share , followed by south korea s samsung electronics co. with shipments of 118.0 million units for an 11.6 percent share .",0
"the maximum amount of the capital loan will be eur30m and the minimum subscription -- eur10 ,000 .",0
"adpnews - feb 3 , 2010 - finland-based steel maker rautaruukki oyj hel rtrks , or ruukki , said today it slipped to a larger-than-expected pretax loss of eur 46 million usd 64.5 m in the fourth quarter of 2009 from a",0
"if anyone is selling shorting agn b c you believe endp rumors to be realistic, then i ll take the other side of that trade",1
the company is listed on the nordic exchange in helsinki .,0
pypl great vol flow trade here.. love this company long time.,1
v a potential bearish shark pattern if point b 226 to be taken out.,-1
"both operating profit and turnover for the nine-month period increased , respectively from eur2 .4 m and eur43 .8 m , as compared to the corresponding period a year ago .",1
"the order comprises four ball mills , which will be organized in two different streams for treating ore in the pilanesberg platinum mine .",0
"alma media corporation press release march 25 , 2010 tyrv n sanomat purchase confirmed the business operations of tyrv n sanomat oy will be transferred to suomen paikallissanomat oy .",0
productional situation has now improved .,1
"ssh communications security corporation is headquartered in helsinki , finland .",0
"for the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",1
"operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",0
finnish metal products company componenta oyj net profit rose to 26.1 mln euro 35.9 mln for the first quarter of 2007 from 5.3 mln euro 7.3 mln for the same period of 2006 .,1
"so as of today s close 8 15 14 , i m long tsla amtd twtr fb aapl celg - all on a longer-term, technical swing long basis.",1
"the acquired business main asset is a mobile authentication and signing solution , branded as tectia mobileid , which provides authentication to web e-mail , ssl-vpn , ms sharepoint , tectia secure solutions and other applications and resources .",0
"the report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",0
"adpnews - aug 3 , 2009 - finnish media group ilkka-yhtyma oyj hel ilk2s said today its net profit fell 45 % on the year to eur 5.9 million usd 8.4 m in the first half of 2009 .",0
the new technology improves the glass quality and consistency while increasing throughput .,1
london marketwatch -- nokia nok said it s won a five-year services contract to run hutchison essar s network operations in nine locations in india .,1
"the regular scrappy q swy usually presents. sales weak, margins down, debt still way up.",-1
"operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",-1
"consolidated net sales increased 16 % to reach eur74 .8 m , while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period .",1
finnish forest machinery manufacturer ponsse has issued a profit warning .,0
"the enterprise value of the fray bentos pulp mill and forestal oriental totals approximately euro1 .6 billion , upm said .",0
rental of building equipment accounted for 88 percent of the operating income .,0
the measures result from weak demand in the shipbuilding industry .,-1
"may 29 , 2010 companiesandmarkets.com delivered by newstex -- this report provides key data and information on the meat , fish and poultry market in finland .",0
"in addition to the demand in finland , the export of lining stone products also increased .",1
the current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,-1
they ve already allocated money for the inventory .,0
"a total of 131000 talvivaara mining company plc s new shares were subscribed for during the period between may 1 , 2010 and june 30 , 2010 under the company s stock option rights 2007a .",0
eur usd finding support near 1.10 level ero uup udn fxe,1
the annual value of the contracts is estimated at usd 2mn over the next three years .,0
"in addition , we will launch a versatile online service to complete the traditional printed newspaper , mr. valkama says .",0
"the company said that the operations will be sold to a newly established company , cps gmbh , where the present management of the plastics business is a co-owner .",0
finnish metal products company componenta oyj net profit went slightly down to 25.1 mln euro 40.2 mln for the first half of 2008 from 25.4 mln euro 40.7 mln for the same period of 2007 .,0
marketsbp promotes upstream boss to deputy ceo,0
"britain s ftse bounces back, mondi and barratt lead",1
"loudeye corp. , up 2.56 at 4.33 nokia corp. , down 10 cents at 19.46 nokia agreed to buy the digital music distributor for 60 million .",0
"ragutis , controlled by the finnish brewery olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",1
finnair said that the cancellation of flights would cause daily losses of x20ac 2.5 million us 3 million .,-1
the energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,0
"the 5,000 megawatt wind farm being planned in raahe would be built offshore in front of ruukki s raahe works .",0
"the australian company mirabela nickel has awarded outokumpu technology a contract for grinding technology for its nickel sulfide project in bahia state , brazil .",1
"standard chartered, rbs escape capital raising in stress test",1
"operating profits in the half were 0.8 m , down from 0.9 m as glisten invested in the brand and the management team .",-1
the expansion is to be finalized in the autumn of 2009 .,0
"finnish konecranes is again trying to acquire italian fantuzzi , a manufacturer of gantry cranes and reach stackers .",0
"1 p.m. central office of nordea bank 19 3-ya ulitsa yamskogo polya , building 1 telephone 495 777-34-77 ext. 3932 , 3931 03.02.2011 unimilk - egm 03-04 .02.2011 xvi international business-summit food business russia 2011 will take place .",0
"adpnews - feb 3 , 2010 - finland-based steel maker rautaruukki oyj hel rtrks , or ruukki , said today it slipped to a larger-than-expected pretax loss of eur 46 million usd 64.5 m in the fourth quarter of 2009 from a",-1
the company expects its net sales in 2008 to increase 5-10 % from 2007 .,1
"about 72 % of evraz group shares are owned by lanebrook , whose beneficiaries , on the one hand , are millhouse , the holding company for the assets of billionaire roman abramovich and his business partners 50 % and evraz executives alexander abramov and alexander frolov 50 % , on the other .",0
"the margarine business has been put into good shape in the last two years , making it a natural addition to bunge , which is looking to leverage its position in the central and northern european markets , raisio ceo matti rihko said in a statement .",1
"the most loyal customers were found in the bank of land , with an index of 8.0 .",1
tesco breaks its downward slide by cutting sales decline in half,1
eriikka s derstr m has previously held several positions in finance and control at nokia networks including acting as the business group controller and having the corporate controller position at nokia siemens networks .,0
no pricing details were disclosed .,0
long aapl,1
salonen added that data shows producers pulp inventories in north america are declining .,0
"finnish it consultancy satama interactive oyj posted a net profit of 1.4 mln euro 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro 664,000 for the same period of 2006 .",1
"consisting of seven interconnected units , mega image s logistics center will be 347 metres in length and 12 metres in height .",0
tesco plc s recovery continues with a 250m cash infusion,1
"kesko has about 2,000 stores engaged in chain operations in the nordic and baltic countries , russia , and belarus .",0
is trouble brewing at legal general group plc and aviva plc,-1
"helsinki-based componenta bought turkish listed company doktas in october 2006 for 89 million euros , making it the largest finnish investment in turkey to date .",0
the ecb can mainly target inflation .,0
"operating profit totaled eur 3.8 mn , down from eur 4.5 mn in the corresponding period in 2005 .",-1
the group said it intends to initiate within this year the process of buyout of minority shareholders of ragutis with the aim of becoming the sole owner of the company .,0
"initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .",0
"the contract incorporates a convergent charging rating solution for voice and data , which includes internet , gprs , sms , mms and wap .",0
astrazeneca s lung cancer drug tagrisso gets fda approval,1
"our customers include companies in the energy and process industry sectors , in particular .",0
europe however remains an important and strong market for us .,0
morrisons and debenhams surprise city with christmas bounce back,1
the ongoing project where tekla structures is being used is the vashi exhibition centre being developed by insteel engineers pvt ltd-iivrcl infrastructures projects ltd cidco .,0
"talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .",1
"operating profits in the half were 0.8 m , down from 0.9 m as glisten invested in the brand and the management team .",0
its total annual revenue comes up to about 160 mln zloty 56.9 mln-42 .3 mln euro .,0
"the corresponding increase in the share capital , eur422 ,754 , has been entered in the trade register today .",0
"group ebit for the first half was eur13 .6 m us 17.8 m , falling short of the eur22 .5 m it posted for the same period of 2009 .",0
relations with the city have been further damaged by comments from mr ashley criticising city investors and analysts as cry babies .,-1
"the engine has an electrical output of 18,321 kw , making it the largest gas powered generating set in the world .",0
pretax profit totaled eur 4.9 mn compared to eur 5.2 mn in the first quarter of 2005 .,-1
"most recently , he founded virent energy systems , inc. , an 80 person catalytic biofuels company , where , as president and ceo , he led the company through multiple financings , defined the company s market strategy , and secured the company s first customers .",0
"addus services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",0
tripadvisor jumps on m a rumors trip,1
finnish civil aviation administration decided to temporarily reopen finnish capital s helsinki airport since 3 p.m. to 11 p.m. monday local time .,0
"reporting in accordance with the merged business operations will start as of january 1 , 2011 .",0
"earnings per share eps for the first quarter 2007 amounted to eur0 .07 , up from eur0 .04 .",1
finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,-1
"meanwhile , minority shareholders , expecting teliasonera to retain the bid , sell shares now .",0
"external net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between ilkka-yhtyma s printing house i-print oy and sector player hss media ab in december 2009 and the fall in printing prices .",-1
"operating profit was eur 9.8 mn , compared to a loss of eur 12.7 mn in the corresponding period in 2009 .",1
word on the street is that allergen is looking at endo international after the failed pfizer merger. may-20 35 calls active. endp,1
fbr capital reiterated outperform rating on brcm with a price target of 45.00 on friday.,1
"metals-zinc surges 12 pct after glencore cuts output, fuelling metals rally",1
profit for the period fell to eur 1.6 mn from eur 7.5 mn in january-september 2008 .,-1
is it worth investing in tesco plc and prudential plc now,1
in finland finnish pharmaceutical company orion corporation omx helsinki ornav said on wednesday 7 january that it has concluded its personnel negotiations in finland and will reduce the number of personnel by 205 .,0
"finnish retailer stockmann has won approval from the board of swedish rival lindex for a public tender offer with the aim of expanding the companies presence in russia and other cee countries , stockmann said monday .",1
"in a release , the company said that vocollect t2 customers in north america can now take advantage of its voice directed warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",1
niklas skogster has been employed by the abb group in various positions concerning the development of operations .,0
"operating profit , excluding non-recurring items , totaled eur 0.2 mn , down from eur 0.8 mn in the corresponding period in 2006 .",-1
"finnish metso paper has been awarded a contract for the rebuild of sabah forest industries sfi pulp mill in sabah , malaysia .",1
ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,1
the price of gmo soy is 5 % -7 % lower than that of non-gmo .,0
"finland s nokian tyres and kazakhstan s ordabasy corporation signed an agreement to build a plant in astana to produce car tires , ordabasy chairman dinmukhamet idrisov said at a press conference .",1
"with sales of 12.7 billion over the last twelve months ending october , 2010 and over 9,200 stores in 35 states , dollar general is the nation s largest small box discount retailer .",0
get midnighttrader in realtime this report is delayed .,0
danish company flsmidth has acknowledged that it has violated a patent held by finnish metso .,-1
"the share issue , derogating from the pre-emptive right of the shareholders and comprising some six million new shares at market price , will be offered for subscription by shareholders , holders of capital notes and by professional clients .",0
tielinja generated net sales of 7.5 mln euro 9.6 mln in 2005 .,0
"karachi , sept. 14 -- ixonos , a world leader in the development and integration of solutions for handheld devices , announced that it is implementing a touch screen mobile user interface solution for the intel atom processor z6xx based smartphones .",0
"neste oil is working with over 20 research communities in europe , america , africa , asia , and australia to develop and introduce new raw materials .",1
"the new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from larox to etteplan .",1
it s not .,0
"took some endp long this am, using vwap as guide",1
"despite sales growth, uk s tesco cautions recovery to be bumpy",0
"in finland , metal sector company componenta is laying off temporarily the staff of its pori mill from christmas 2008 till 6 january 2009 .",0
"in middle east north africa , tecnotree has grown considerably in the recent years .",1
"both operating profit and net sales for the six-month period increased , respectively from eur18 .1 m and eur127 .6 m , as compared to the corresponding period in 2006 .",1
"insurer axa par cs slid by 5.35 % to eur 14.15 , after citigroup and ing slashed their targets on the stock .",0
"the order values at eur 6.9 mn , and it consists of design services and hardware and software licences .",0
scanfil has also issued a profit warning .,-1
"a spokesman said the food store center , subject to council and local support , could comprise a supermarket or smaller store and other niche outlets , and this will be firmed up following consultation with the council and local community regarding appropriate uses and occupiers .",0
the bond has a value of eur150m and a maturity of 4 years .,0
millercoors board names gavin hattersley interim ceo,0
airbus will attempt to evacuate up to 873 people within 90 seconds .,0
first quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,1
"eps for the quarter was eur0 .00 , as compared with eur0 .01 in the third quarter of 2008 , representing a group net sales for the third quarter were eur15 .3 m , up by 2.8 % as compared with eur14 .9 m in the third quarter of 2008 .",1
royal dutch shell profit rises dividend up 4%,1
"meanwhile , electrowatt-ekono philippines , inc. was also awarded a three-year operation and maintenance o m contract by fr cement corporation .",1
the agreement includes application maintenance and support services .,0
nokia is just interested in bring nokia to the market .,0
affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached eur 103 million .,1
"the report profiles 158 companies including many key and niche players including major nonwovens manufacturers such as ahlstrom corporation , asahi kasei corporation , buckeye technologies , inc. , ei .",0
the lay-offs will affect 240 people out of the total 320 okmetic employees in finland .,-1
the acquisition of elektros pavara completes kone s market expansion strategy in the baltic countries .,1
"18 may 2010 - finnish electronics producer elcoteq se hel elqav said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with japan s sharp tyo 6753 .",1
morrisons book second consecutive quarter of sales growth,1
"marimekko has today 20 november signed a license agreement with the swedish chain , whereby marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to h m .",1
"that was quick, out fio 21.35, market tanking, scaling down longs now",-1
"the announcement pushed freenet shares down 6.3 % , or eur0 .71 , in frankfurt trade to eur10 .65 as investors gave up hope united internet ag and drillisch would pursue their own takeover and breakup of freenet .",-1
"finnish telecoms software developer tecnomen oyj said on december 5 , 2006 it won a 3.3 mln 2.5 mln euro order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of brasil telecom .",1
companiesunilever sales lifted by ice cream in soft economy,1
eps dropped to eur0 .2 from eur0 .3 .,-1
ino can test 10 again in next few days. time to take some profits here. or hedge with puts.,-1
no financial information was provided .,0
easyjet attracts more passengers in june but still lags ryanair,1
morning agenda shire s deal for nps,1
metso will supply the equipment for two process lines at northland resources new kaunisvaara iron ore project in sweden which exploits tapuli and sahavaara iron ore deposits .,1
under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe .,1
the company s previous estimate was for a lower revenue than the year-ago eur 93.9 million .,0
earnings per share eps dropped to eur 0.21 from eur 0.31 .,-1
"bids or offers include at least 1,000 shares and the value of the shares must correspond to at least eur4 ,000 .",0
earnings per share eps amounted to a loss of to eur0 .06 .,0
netapp downgraded by macquarie to underperform. 22.00 pt. ntap ntap via,-1
russia is ready to participate in an open tender for lattelecom s privatization .,0
"technopolis and the st. petersburg government signed a cooperation memorandum in october 2005 to set up a techno-park in the neudorf production zone in the village of strelny , in the st. petersburg suburbs .",1
the owners who have participated in the business operations of the company will continue in poyry s employment after the transaction .,0
the goal is to secure the company s profitability and competitiveness .,0
"however , the company saw its net profit for the third quarter down to eur 1.4 million from eur 1.5 million for the corresponding period of 2009 .",-1
"neste oil s board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",1
basware einvoices oy will be merged into the parent company during the present fiscal period .,0
fintech provider cafn cachet financial solutions surging forward today post earnings up 13.26% jkhy fisv momo,1
"before kemira s installation nordalu was producing 3,500 tons of liquid and solid aluminum waste per year .",0
he is a chartered accountant in british columbia and alberta as well as a certified public accountant in washington state .,0
very recommendable is the nokian z g2 according to the adac judgement in the latest summer tyre test of the german automobile association adac .,1
- the group - s result before taxes was a loss of eur 0.6 0.6 million .,0
- cash flow from operating activities before investments was eur 0.8 -1.2 million .,0
viking line has canceled some services .,-1
exel is headquartered in mantyharju in finland .,0
stora chief executive jouko karvinen has described the russian tariff hikes as a threat to the future of the forest products industry in finland .,-1
"after barclays and bank of america, citigroup has blockchain in sight",1
"google, inc. completes acquisition of icoa, inc. icoa goog",1
"tsla looking good..i d love to see a basing action here, letting the rsi take a breather.",1
"finnish plumbing and heating systems supplier uponor s net sales from continuing operations decreased by 9.4 % in 2008 to eur 949.2 mn from eur 1,047.4 mn in 2007 .",0
"this location makes the mall a convenient place to shop for consumers from three large residential areas nearby jaroszowka , wysockiego and zgody .",1
finnish insurance company fennia and kesko group are ending their loyal customer cooperation .,-1
"the casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",0
"finland-based elcoteq se , a privately held provider of electronics manufacturing services to communications companies , said thursday it signed a long-term manufacturing supply deal with communications equipment company andrew corp. .",1
"in q1 of 2009 , bank of land s net interest income weakened by 10 % to eur 9.1 mn .",0
rbs pays 1.7 billion to scrap u.k. treasury s dividend rights,0
increased trust of our clients in yit can be seen as apartment sales accelerated .,1
talvivaara mining company plc talvivaara mining company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore .,0
operating profit for 2009 lower than outlook published earlier .,0
less than ten people will face pension agreements .,0
"the company s consolidated operating profit amounted to eur 15.86 mn , up from eur 4.14 mn year-on-year .",1
astrazeneca to buy zs pharma for 2.7 billion,1
finnish waste management and cleaning group lassila tikanoja oyj l t net profit went down to 32.2 mln euro 47.7 mln for 2007 from 35.3 mln euro 52.3 mln for 2006 .,-1
the operating margin of aker yards cruise ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,0
"helsinki thomson financial - shares in cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in april-june profits , which overshadowed the large number of new orders received during the three months .",-1
the program s target is structural cost reductions of about eur 30mn in 2009 .,1
our tools are specifically designed with the needs of both the business users and ict experts in mind .,0
"ahlstrom corporation seppo parvi , cfo distribution main media ahlstrom in brief ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers .",0
"prior to the transaction , whose financial terms have not been disclosed , alma media owned 40 % of kotikokki net .",0
ctrp not a bad long chart now that it s through sma100 resistance.,1
a merger between upm and finnish-swedish stora enso is not likely either .,0
hyg potential continuation uptrend on a 60 -15 -4 charts,1
peroni and grolsch put up for sale as ab inbev plans acquisition of sabmiller,1
"operating profit for the nine-month period increased from eur13 .6 m , while net sales increased from eur394 .7 m , as compared to the corresponding period in 2005 .",1
the beers differ slightly from mainstream beers .,0
financial details were n t disclosed .,0
"separately , yit corporation and austrian firm e ag last week signed an agreement on the sale of e s building system service business in germany , austria , poland , the czech republic , hungary and romania for eur 55 mln .",1
finnish aluminium products manufacturer nordic aluminium plc omx helsinki noa1v reported on monday 18 august an operating profit of eur7 .9 m on net sales of eur55 .2 m for the period january-june 2008 .,0
"temporary lay-offs , affecting the entire workforce , will also be implemented .",0
"southfield , mich. -- central corporate credit union will again distribute patronage dividends to members by waiving all service fees incurred during the months of july and november 2008 , to the tune of an estimated 1 million .",1
sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,1
choose from a giant countdown with red head or rainbow trout -- or the giant shad rap in perch color .,0
"russian export duties will activate harvesting in finland , and sales in russia will increase also .",1
"finnish electronics manufacturing services ems company elcoteq se posted a net loss of 66.4 mln euro 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro 9.8 mln for the same period of 2006 .",-1
"on preliminary estimate , the hotel will operate under the brand novotel .",0
credit 20 november 2009 - finnish glass technology company glaston oyj abp hel gla1v said today it concluded a eur74m revolving credit facility agreement with its core banks .,1
end of day scan bullish ma crossovers bbva pds ntls ngl sbrcy fgl mtnoy ttt,1
"tvo s two-unit 1,740 mw olkiluoto plant generated 14.2 twh with an operating ratio across both reactors of 93.5 % , which the company described as high by international standards .",0
"turun kaupunkin , finland based company has awarded contract to lemminkainen talotekniikka oy for electrical installation work .",1
finnair s total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,0
consolidated pretax profit decreased by 69.2 % to eur 41.0 mn from eur 133.1 mn in 2007 .,-1
gild 91 now support. ibb bib,1
he wore a black beanie-type cap and a black jacket .,0
finnish developer and manufacturer of mobile phone chargers salcomp plc omx helsinki sal1v on wednesday 19 november lowered its full-year net sales estimate .,0
"basware corporation stock exchange release august 31 , 2010 at 16 25 basware signed a large deal with an international industrial group basware will deliver invoice automation solution and connectivity services to an international industrial group .",1
deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,0
cash flow from operations for the most recent quarter also reached a eight year low .,-1
"mn , and pretax profit to eur 46.4 mn from eur 35.8 mn in the third quarter of 2006 .",1
- tikkurila inspires you to color your life .,0
isrg trading at all-time high after strong earnings report with 4 days of short interest.,1
"in october , upm reported a third-quarter net loss of euro86 million 110 million compared with a net profit of euro120 million in 2007 .",0
tesco shares jump 6% after christmas sales beat expectations,1
the potential acquirer is cencorp corporation which is a related entity to sav owing to each of sav and cencorp being a subsidiary of the finnish savcor group oy .,0
"yit s baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",0
net loss in the same period in 2009 was euro18 .6 million .,0
"also , cba is to issue a benchmark , 10 year fixed rate deal in euros .",0
aspo s group structure and business operations are developed persistently without any predefined schedules .,0
loss for the period totalled eur 15.6 mn compared to a profit of eur 6.3 mn in 2008 .,0
shell to buy bg group in 69.7 billion takeover,1
bbry hearing rumours of a major joint venture announcement.,1
philips was not available to comment on the report .,0
sony ericsson and nokia dominated the list of best-selling handsets with five models each .,1
"this is a repeat order to follow successfully installed 159 elevators in the same delhi metro system , kone spokeswoman told thomson financial news .",1
"operating profit of kauppalehti group rose to eur 1.5 mn from eur 1.3 mn , and that of marketplaces to eur 1.3 mn from eur 1.0 mn in the third quarter of 2006 .",1
"the works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",0
"profit after taxes was eur 0.1 mn , compared to eur -0.4 mn the previous year .",1
"currently the terminator lures are produced in a subcontract facility in mexico but the manufacturing will be transferred to rapala s factory in shenzhen , china .",0
"changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant , according to the company .",0
"adp news - feb 4 , 2009 - finnish broadband data communication systems and solutions company teleste oyj hel tlt1v said today its net profit decreased to eur 5.5 million usd 7.2 m for 2008 from eur 9.4 million for 200",-1
"helsinki afx - shares closed higher , led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets , and by nokian tyres after its fourth-quarter earnings report beat analysts expectations , dealers said .",1
finnish navigation device manufacturer benefon that is changing its name to geosentric reports net sales of about eur 1.1 mn in the second quarter of 2007 .,0
a. le coq had a market share of 41.3 percent and rival beverage group saku 32.1 percent .,0
"particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class b , and leed certification will be applied for .",0
today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from fiskars .,0
"at the close , the omx helsinki 25 was 0.01 pct lower at 3,067.64 points and the omx helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",0
"tallink claims the watertight doors of both vana tallinn and regina baltica , including their electrical systems , are fully in working order .",1
this resulted in improved sales figures in sweden .,1
the arrangements do not apply to the group s units outside finland .,0
operating profit was eur 1.6 mn in 2005 compared to eur 5.9 mn in 2004 .,0
rbi surprises street sensex pares gains after hitting mount 30k,-1
"adp news - sep 30 , 2008 - finnish security and privacy software solutions developer stonesoft oyj said today that it won a usd 1.9 million eur 1.3 m order to deliver its stonegate network security products to an unnamed russian te",1
"tieto s service is also used to send , process and receive materials related to absentee voting .",0
finland-based stockmann group has closed seven franchising sports stores nike in russia .,-1
"whitbread profit up as sales continue to rise, looking for new ceo",1
aspocomp has repaid its interest bearing liability to standard chartered bank and will use the rest of the consideration to partially repay its interest bearing liabilities in finland and to improve its liquidity .,1
"fastenal misses by 0.01, misses on revenue fast nyse",-1
finnish investment group norvestia oyj said its net profit fell to 23.5 mln euro 30.6 mln in 2006 from 33.5 mln euro 43.6 mln in 2005 .,0
"the commission found evidence of several meetings to discuss the cartel , including one in a brussels restaurant in november 1997 at which the companies discussed price increases .",0
"as part of the reorganisation measures that will take place in spring 2006 , tamglass finton will start personnel negotiations that will affect its entire staff of 33 .",0
this corrensponds to 4.628 percent of okmetic s share capital and voting rights .,0
"tim cockroft brings with him an excellent track record having more than 18 years experience moreover , tim has successfully developed the capital markets operations at kaupthing singer friedlander involving corporate finance and broking with a focus on mid-market companies .",1
25 november 2010 - finnish paints and coatings company tikkurila oyj hel tik1v said today that finnish state-owned investment company solidium oy sold its 14.7 % stake in the company for a total of eur98m .,0
runway visual range is a calculated assessment of the distance that a pilot can see down a runway .,0
